amount,old_balance_orig,new_balance_orig,old_balance_dest,new_balance_dest,type,name_orig,name_dest,hour,day_of_week,is_fraud
9.51,2210.23,2725.48,9339.27,8820.56,cash_out,C7199635,M5781295,5,3,0
6.91,6155.61,9873.61,6574.37,177.45,debit,C6022741,M2737893,4,2,0
1518.16,1638.93,2889.39,2185.23,3494.51,payment,C9479356,M9196204,8,6,1
54.72,2839.13,135.1,7734.08,6407.42,payment,C3710895,M8412769,17,5,1
4.5,844.91,8842.75,9048.89,5501.34,payment,C3484601,M8210624,4,0,0
16.26,7981.61,8620.96,8999.35,2179.76,cash_out,C2724590,M6933742,17,6,0
230.76,1630.08,9305.82,8659.6,9764.44,cash_out,C7917152,M1415846,5,5,0
29.44,4175.96,6732.08,7377.07,2556.86,cash_out,C2813543,M7417985,1,6,0
3.42,9192.67,3561.62,8223.31,8726.1,cash_out,C1397023,M4240180,12,2,0
3182.36,2863.34,6450.67,4056.82,9813.38,debit,C6555772,M1463060,3,2,1
0.03,6006.06,3522.3,7885.64,4420.3,debit,C2940214,M7462506,18,1,1
146.52,5247.21,8084.46,6899.89,9408.6,cash_out,C7110622,M8235969,2,5,1
2.39,6667.54,1333.79,9010.46,5120.51,cash_in,C6472441,M7751158,22,2,0
2.42,6682.8,3853.54,7506.53,1822.87,debit,C6049101,M7812810,17,6,0
0.11,7879.01,6105.95,3290.27,4473.68,cash_out,C9576076,M8938746,23,1,1
35.74,6672.15,6230.68,1024.53,9524.8,cash_out,C6207974,M4768844,6,1,0
1477.16,6151.61,7708.04,4608.62,8872.76,debit,C4262081,M7442089,15,3,1
125.93,8937.33,8618.36,8866.11,7806.36,cash_out,C3950888,M9689889,14,0,1
23.71,1301.45,1420.06,4699.97,5358.21,debit,C6323376,M8425149,19,6,0
3.64,8322.63,5523.93,8982.36,7462.19,cash_in,C8550917,M5348512,7,6,0
12.4,5260.87,6304.81,2818.51,867.09,payment,C4934149,M5558623,10,2,0
4.92,1593.22,3892.05,1612.77,2218.13,cash_in,C7838382,M6551268,17,3,0
44.06,4259.42,9057.9,5882.39,6985.68,debit,C7381734,M9002392,0,2,0
0.43,9538.96,4248.31,7500.41,5506.71,debit,C4700025,M9191131,7,2,1
0.84,3427.68,6823.5,4102.74,1733.94,cash_in,C3141239,M9961107,0,3,0
38.78,931.08,4343.27,8681.83,1899.12,payment,C7360307,M6492066,6,3,0
18.44,3853.35,7544.9,8336.05,2597.49,transfer,C8890439,M1325197,23,4,0
0.12,779.32,9577.13,498.56,407.2,cash_out,C4344717,M1341919,19,1,1
0.34,5683.3,2257.85,7024.7,7692.29,cash_out,C2921542,M3747534,9,0,1
118.48,5800.39,9089.46,3815.54,9420.56,cash_out,C2275009,M5074336,3,5,0
97.8,6044.07,1298.45,9840.06,7848.09,payment,C9937982,M8186990,21,2,0
37.44,8510.8,8241.08,1144.83,9611.8,cash_in,C3566765,M8306261,5,5,1
17.87,6197.53,9204.21,7768.95,4702.25,debit,C5502929,M6407373,7,6,0
21.71,4562.94,7529.72,5741.51,6715.07,payment,C1481506,M9293086,10,1,0
54.48,2657.69,2868.62,6001.93,8813.06,debit,C1170307,M9667566,6,0,0
0.25,7605.83,6937.03,6494.44,4959.13,transfer,C2561176,M5936453,7,3,1
12.34,5857.4,4785.28,5356.13,4312.49,debit,C6549757,M6902401,22,3,0
0.12,7240.71,3223.92,7454.52,9513.69,cash_out,C4213524,M4630331,23,3,1
42.81,5293.91,2901.69,1095.21,2021.76,cash_out,C7054579,M4010529,9,0,1
26.37,550.61,639.81,2992.15,9446.49,cash_in,C2721135,M1205779,18,2,0
99.31,1925.2,608.63,9416.53,4829.52,transfer,C7722755,M9250138,2,4,0
7.08,1577.06,5672.11,3107.97,9939.79,transfer,C7982241,M4786401,16,3,0
65.27,8615.65,9901.31,3123.26,6248.17,debit,C2664863,M4486102,20,1,0
612.28,1820.75,843.14,126.49,4559.99,debit,C8883823,M5886520,1,1,1
0.35,4594.91,6905.11,9246.72,7899.5,debit,C4318855,M8132648,3,4,1
1741.93,8283.65,806.96,1742.64,3145.36,debit,C5842082,M8367772,3,3,1
173.52,9432.49,5054.67,4988.57,896.37,transfer,C8248238,M6407658,19,2,0
1131.43,8375.99,5794.47,9512.78,9995.77,payment,C1674975,M3939212,15,4,1
222.22,1896.74,5894.76,6384.37,4968.09,transfer,C8885465,M6837817,13,2,0
0.4,1692.17,4175.29,5005.14,6659.58,cash_in,C1615675,M8630712,2,2,0
3188.52,4101.33,5194.5,9882.38,6610.84,debit,C8750676,M7933143,1,1,1
27.81,5035.08,4476.21,610.96,2743.86,cash_out,C5832327,M8350368,22,3,0
94.36,2469.04,1667.94,5553.31,5567.29,transfer,C4769851,M2903561,14,0,1
12.04,9333.27,2989.43,7083.58,4213.35,cash_in,C8922533,M5089126,14,4,0
105.17,5131.58,8805.33,8653.87,2834.85,cash_in,C6702160,M9518424,8,6,1
74.74,5910.68,9989.13,4947.44,1571.09,debit,C9125900,M6790218,10,4,1
26.98,9335.24,8709.06,9809.67,2464.17,cash_in,C4918527,M7891662,1,2,0
162.42,8132.95,3922.18,6670.52,8225.4,cash_out,C9310235,M1621086,4,4,0
8.7,1093.61,8465.89,1087.15,9113.37,transfer,C3418526,M7878299,20,1,0
0.18,6957.78,6533.38,8532.48,8538.18,debit,C7375499,M6312692,20,5,1
11.47,5456.06,6212.85,2424.23,6875.56,payment,C4816586,M2516313,13,0,0
82.58,1095.02,1747.01,3064.71,386.58,payment,C1941524,M5921894,11,2,0
20.07,4179.31,6849.82,1882.56,1833.19,debit,C7418028,M5040453,15,4,0
0.32,4649.75,6701.72,8999.19,4706.01,payment,C3650391,M2239197,14,2,1
28.15,9624.09,6934.1,4622.67,3091.0,cash_in,C9106886,M2789344,7,3,0
26.51,9927.65,3022.78,9781.65,6616.48,payment,C1135861,M1822825,19,5,0
107.53,2933.32,8008.72,6109.94,3587.98,cash_out,C5204819,M3294774,20,0,0
11.1,3158.44,4464.15,5837.78,7350.36,transfer,C5951131,M6481437,23,3,0
681.77,8776.96,3721.99,5067.77,2798.02,cash_out,C5311242,M9084065,9,5,1
19.11,4736.48,845.46,7566.1,2333.59,cash_in,C7136687,M2515030,12,0,0
118.62,6761.0,6756.17,5887.14,8241.93,payment,C2817745,M4922880,15,0,1
49.67,3347.26,6139.81,6511.76,6390.5,cash_in,C6069909,M7850067,3,1,0
739.05,4976.98,1062.2,8883.87,1443.07,cash_in,C7224540,M8031780,18,5,1
33.26,6583.73,8353.56,6194.96,9396.63,payment,C1548888,M7216461,6,3,0
10.02,3690.59,9811.18,3736.62,9026.79,payment,C2015861,M7679674,8,1,0
6.4,8259.49,1007.57,2199.85,6430.98,transfer,C1848566,M6595355,7,1,0
7.45,8315.2,5586.66,5905.19,8149.22,cash_out,C6512314,M3475548,19,0,0
799.42,5448.13,8005.29,1188.27,8677.83,cash_out,C1249314,M7010308,7,4,1
4.35,618.75,7443.01,5308.25,7482.09,cash_in,C8520810,M7074006,16,4,0
72.43,6189.56,7299.71,9096.64,6623.14,payment,C8684678,M1522621,1,3,1
30.98,1168.82,7152.77,4491.27,9002.74,payment,C3488628,M2101965,4,2,0
230.01,7150.31,3870.95,6014.18,3019.49,debit,C8217547,M2663938,22,0,0
31.96,7712.73,7236.32,2228.73,4570.39,cash_out,C7942639,M6686328,14,3,0
12.24,4324.96,6684.57,3805.58,1611.13,cash_in,C2126310,M2530497,2,0,0
26.31,3789.2,1388.14,693.81,9570.58,debit,C6530541,M3050700,13,2,0
3.48,4287.07,9166.85,609.32,2947.53,payment,C6899644,M2738129,18,4,0
115.91,8488.02,3566.13,5607.03,1237.36,payment,C4794319,M8199311,17,6,1
26.64,6462.72,359.91,9297.93,8311.66,payment,C1485753,M4026879,8,5,0
656.47,3575.13,1895.92,1518.19,6607.71,transfer,C3380261,M1514340,2,5,0
13.93,4591.09,1658.35,3185.21,3311.39,debit,C2425342,M1882629,4,1,0
10.92,907.66,4486.82,4297.75,6110.05,cash_in,C5582979,M4616647,16,0,0
9.08,6814.36,5972.03,5316.65,3153.35,cash_out,C7631419,M1919088,0,1,0
3.08,1458.62,2629.64,3348.41,176.53,cash_in,C3947669,M3167376,12,4,0
84.05,8350.21,8081.38,813.55,8631.47,transfer,C8318550,M1314430,14,0,0
58.25,5776.66,7124.04,4235.17,1240.22,transfer,C6448705,M3883553,19,3,0
88.12,972.49,8460.4,2508.83,5929.83,debit,C2319479,M7639863,9,5,0
5.45,1764.51,5153.78,1228.86,5148.53,payment,C6890476,M3477824,7,0,0
2222.03,1613.41,7615.61,846.0,9517.79,cash_in,C8783840,M8531380,21,4,1
6.72,3299.76,9712.63,3229.78,4453.65,cash_in,C8419020,M6080483,8,4,0
141.46,4671.25,472.31,3750.5,2942.06,transfer,C9507186,M7450545,14,4,1
418.48,8969.18,4552.36,8117.18,6553.19,payment,C8979730,M9411547,4,0,0
9.38,8390.03,9825.62,934.86,6496.66,transfer,C5156449,M8344365,14,4,0
5.54,3791.23,2900.65,4146.82,3449.83,debit,C1878547,M6614484,2,2,0
121.73,2594.76,8530.51,9647.66,6066.74,cash_out,C6592886,M2367376,18,5,1
0.16,6594.94,6655.14,1376.62,7117.46,transfer,C6193922,M7319630,20,6,1
1.55,7058.03,9476.38,9971.92,9133.24,transfer,C8103580,M9531021,11,0,0
12.57,2220.51,9481.92,4914.08,2342.78,cash_out,C3599548,M2294615,9,6,0
6.02,5443.73,7412.58,5312.66,6653.1,debit,C3198638,M7320310,4,1,0
273.36,8109.53,1738.84,4432.97,4167.5,cash_out,C8452417,M5780297,23,6,1
7.42,3163.73,8105.38,4743.25,8367.62,payment,C8391997,M8745704,9,6,0
142.31,9666.05,8187.22,8032.47,1470.15,payment,C1875431,M9062973,11,4,0
10.84,5207.5,1334.31,930.36,1687.09,cash_in,C9612629,M3472100,13,0,0
8.73,4566.17,3560.89,364.03,627.24,debit,C7274032,M4955699,12,0,0
18.45,9315.18,8407.85,6534.61,7934.67,cash_out,C1642620,M5813037,15,5,0
6.67,4744.19,6191.95,9067.99,288.14,cash_out,C3508522,M9854536,13,0,0
17.51,1306.3,2460.55,6425.62,6265.82,transfer,C2859886,M9385742,19,4,0
628.62,7213.59,2983.59,115.49,3592.88,debit,C7988844,M4142605,21,5,1
0.04,5307.99,5122.54,9884.48,5586.1,cash_in,C8887557,M1730386,20,3,1
17.24,260.8,7906.35,3513.54,7356.12,transfer,C6578736,M3238241,1,2,0
42.16,1833.38,7813.51,4699.77,6984.35,cash_out,C3262450,M2058651,22,6,0
18.44,2095.75,7931.98,8869.32,3224.4,payment,C9646701,M7681090,17,3,0
19.08,3634.04,7830.33,8671.4,3386.05,transfer,C7174337,M8330827,12,5,1
7.22,3456.46,1949.49,6951.48,3736.73,debit,C5474830,M2385991,23,3,0
340.74,1886.52,3008.29,1115.72,3346.41,payment,C6142147,M8481225,19,5,1
38.7,3580.32,519.32,8713.37,3590.34,cash_in,C5606274,M1962308,2,5,0
23.17,8030.85,6826.17,9532.62,1513.52,debit,C8351320,M1583829,4,0,0
159.95,3890.26,5715.72,6090.44,6822.71,payment,C7241348,M8448065,2,4,1
0.21,6530.65,2571.16,1223.14,7383.18,cash_in,C9686324,M7492570,17,0,1
0.35,2224.25,6157.58,6970.41,9986.43,cash_out,C3057514,M3277144,2,3,1
163.66,969.13,6851.1,8470.66,3263.92,payment,C2089496,M5871470,9,6,1
73.79,6413.23,7957.59,5136.68,1301.49,cash_out,C3329967,M4971774,15,0,1
220.7,4727.32,9831.82,1384.74,8854.04,transfer,C6189037,M7680015,22,5,0
32.85,4153.39,5791.52,1340.74,3238.57,transfer,C8549319,M8815384,21,4,0
7.86,7824.6,6433.96,1901.44,9666.02,cash_in,C9436654,M1929673,3,4,0
882.78,9353.9,2332.16,9480.08,5237.09,payment,C2323049,M5204459,6,5,1
4.49,6287.72,6182.84,1024.94,6445.78,debit,C3586950,M3872269,21,4,0
63.06,8441.05,5679.82,8269.84,380.9,transfer,C5440189,M4536777,18,3,0
28.17,8901.07,5501.22,6454.88,3090.73,cash_out,C7813102,M5990112,14,0,0
4.07,4214.66,4697.98,3467.91,1522.32,payment,C6794356,M7689354,4,6,0
73.71,3259.25,4718.08,2747.97,2554.4,transfer,C1849015,M5868949,12,6,0
22.4,8666.54,1681.03,3341.61,5819.1,payment,C4184887,M3673322,15,4,0
88.13,5023.97,991.49,3993.1,4626.58,cash_out,C4609524,M6920597,1,0,0
1640.1,6577.17,4758.81,5413.24,8487.01,cash_in,C3247055,M5437118,23,2,1
12.84,4065.76,5745.79,2027.09,5576.91,transfer,C7481857,M9460003,14,6,0
12.64,6270.09,6149.33,1373.77,1057.15,payment,C6688907,M7133857,4,1,0
6.3,498.52,485.25,7164.56,8059.26,debit,C8666995,M3498809,19,4,0
37.46,3990.25,6203.35,8441.76,5977.87,debit,C9551583,M9931180,15,5,1
18.74,264.71,3379.27,1185.09,4223.75,payment,C1447065,M8962302,8,5,0
44.77,5818.58,7241.86,5876.88,1788.07,debit,C7378535,M3479264,21,1,0
103.56,287.48,3205.56,1599.17,6935.95,cash_in,C9419134,M8912226,23,5,1
2021.45,5652.78,9981.42,4835.87,3830.57,cash_out,C8711874,M9944387,10,4,1
30.07,7237.15,6468.76,6963.8,6139.76,cash_out,C5135904,M5680950,17,2,0
0.39,7078.52,6933.38,4941.13,4850.05,debit,C5587856,M5828304,3,4,1
12.85,9803.59,8201.94,9550.63,8065.7,payment,C1705758,M5825636,22,0,0
511.79,2638.8,4842.88,2100.47,5431.92,debit,C5557052,M3303058,3,4,0
28.35,602.58,9061.32,2334.15,2405.08,transfer,C7934046,M6541407,22,3,0
88.91,5548.49,9298.09,4128.38,9356.82,cash_in,C9010256,M4346315,9,2,1
312.18,985.66,5783.92,5398.01,7258.87,transfer,C3937099,M8010946,5,0,1
32.44,5004.3,9372.43,9625.1,9267.79,transfer,C1155477,M6006190,18,4,0
0.15,9892.08,5478.67,4989.73,9391.75,debit,C8852085,M5577446,6,6,1
2252.43,6518.02,7214.12,239.43,3437.41,payment,C4240708,M3944316,19,6,1
32.54,4334.26,3346.47,4068.25,1044.31,cash_out,C9010350,M6429135,7,0,0
622.21,2743.24,3363.29,5866.36,5771.49,payment,C7032283,M4964499,1,5,1
0.09,6892.13,9238.75,8889.23,7721.43,transfer,C5949909,M7166363,19,1,1
115.24,4604.29,9889.5,3798.89,7049.21,cash_in,C4664338,M5151780,21,6,1
17.6,5302.52,5328.91,3681.67,9180.72,transfer,C2036128,M9480665,6,4,0
31.03,8559.41,4474.22,6834.92,7197.49,cash_in,C2525747,M9562677,14,6,0
961.76,4622.3,671.59,4677.55,8088.46,transfer,C7642917,M5269083,0,5,1
64.54,3510.84,731.22,9941.82,9352.37,transfer,C8920040,M1532422,9,3,1
1218.71,9785.5,6494.22,4261.58,9929.28,cash_in,C8525204,M7333337,12,0,1
41.68,5439.07,6569.99,3542.92,1866.89,debit,C7594429,M9872505,4,5,0
10.91,7586.18,9787.06,4683.74,7219.03,cash_in,C9924365,M7363203,7,1,0
13.01,1965.96,8764.56,7678.35,418.95,cash_in,C1262492,M5037710,6,0,0
727.86,6753.03,8734.9,2522.87,537.94,cash_in,C4931560,M4645172,1,1,1
3.78,8176.28,7342.02,3257.15,6019.38,payment,C4974590,M6062767,4,5,0
28.71,2824.02,5611.51,5957.5,7378.6,cash_out,C8167236,M9315137,1,2,0
52.01,7879.47,3255.47,4221.61,1577.25,cash_in,C4084977,M8944327,7,6,0
287.94,4683.95,670.48,4185.51,4223.43,debit,C3249703,M7516590,7,2,1
249.84,4552.89,3773.67,5402.79,8311.12,transfer,C5504038,M7327828,21,4,1
6.26,1962.82,7640.79,7270.62,5632.62,cash_in,C4504577,M6586214,9,0,0
383.36,1261.43,9995.76,4841.32,2501.67,debit,C4431161,M7654381,7,4,1
27.3,4715.88,6522.34,3153.38,3660.48,cash_in,C8818250,M2654371,23,3,0
29.35,2110.96,3197.93,552.58,8654.44,cash_out,C1272124,M5375063,17,4,0
34.9,1608.87,3365.67,3860.41,8350.29,cash_in,C6663388,M5317226,15,5,0
2141.73,1765.51,7970.26,1775.73,7231.1,cash_in,C4087809,M1985360,16,0,0
16.58,8198.16,580.29,163.2,1461.17,cash_out,C2140312,M3533857,0,1,0
68.2,6216.57,6700.87,6203.54,4883.72,cash_in,C1263935,M1110936,17,4,0
20.74,7249.71,5403.81,2938.22,5071.94,cash_in,C4007598,M2795437,3,4,0
1852.3,2598.94,3608.97,7969.87,882.29,cash_in,C8700704,M5080351,22,1,1
603.34,8596.37,7619.9,1025.66,3854.71,debit,C8986040,M1941452,20,0,1
21.41,8468.76,6484.58,3379.58,9775.56,transfer,C9861040,M1713900,7,1,0
10.75,5711.16,2783.84,9249.18,6875.84,payment,C1552000,M4009069,10,0,0
18.04,7547.32,7155.84,4043.13,861.68,cash_out,C5034453,M7528964,21,4,0
16.26,1485.51,9885.93,7269.22,5057.85,payment,C1900876,M2638895,13,1,0
18.16,7713.16,9553.1,4027.36,7758.19,transfer,C5585666,M8558977,15,1,0
558.87,4375.29,6828.98,6640.65,948.37,debit,C5955645,M5134741,22,0,0
65.32,7860.51,1627.34,3957.26,3670.93,transfer,C1087161,M6171869,14,2,1
20.97,964.24,4366.7,5614.15,5173.16,transfer,C1440601,M2503554,11,4,0
22.59,8650.81,222.17,4196.72,7813.77,debit,C5072543,M9742683,5,5,1
5.86,3081.2,4981.93,726.34,4403.3,cash_in,C6029008,M9124053,2,2,0
3495.51,5008.44,6205.02,4632.83,1441.35,transfer,C7638609,M6573679,19,3,1
17.42,3413.89,8173.21,8609.13,9744.83,cash_out,C6040467,M6379868,19,5,0
0.1,4042.57,3259.46,7375.26,6365.73,debit,C5067204,M6467463,12,2,1
7.65,1227.49,5682.12,5963.05,5501.73,debit,C1451577,M8744735,22,1,0
33.82,6959.07,8207.76,7977.0,4150.5,cash_in,C3335038,M6080688,7,2,0
11.6,7911.86,832.25,9907.94,4844.42,cash_in,C9965197,M9499549,22,3,0
39.12,3659.34,8965.47,5415.37,6417.99,transfer,C2834914,M5164624,21,5,0
27.25,538.54,9837.72,6806.97,4056.22,payment,C8221845,M2777454,0,0,0
69.5,5624.13,6907.88,2288.21,3803.78,cash_in,C9396422,M3529080,11,0,1
197.69,9213.42,949.96,8330.05,7328.49,payment,C6232651,M6755703,14,6,0
0.18,1066.47,7247.74,4579.23,765.03,transfer,C2930810,M1378915,10,5,1
101.22,7430.85,5208.34,5563.91,3376.8,cash_in,C8751982,M4889890,12,5,1
176.34,4016.27,7400.14,8842.66,4550.79,cash_in,C7523581,M1074659,22,1,1
72.06,719.38,1107.35,8732.6,1950.9,payment,C4306357,M8676422,3,2,1
58.4,9662.57,3202.7,3947.53,3986.19,transfer,C6837206,M6905327,14,4,0
56.76,3044.7,6183.4,939.04,1426.08,transfer,C5002586,M6123426,3,1,1
9.06,3945.79,6004.62,5790.58,4288.08,cash_in,C3906397,M3799538,15,2,0
0.42,6232.16,8668.67,9523.24,4897.63,cash_out,C7441514,M9479842,20,3,1
59.54,7130.41,4494.13,1755.81,5697.44,cash_out,C5900455,M1548532,8,1,0
2.66,4627.48,7450.93,7682.6,5542.29,transfer,C2916069,M5494430,17,6,0
15.13,7592.18,7624.04,4469.53,2263.57,cash_in,C2718262,M5152891,9,6,0
11.19,3550.91,8185.61,4446.79,9940.18,cash_out,C4521171,M6882609,22,4,0
5.09,1478.43,2145.53,2148.73,687.64,payment,C9930189,M5715824,19,4,0
803.31,5770.08,9528.73,5192.71,9011.54,transfer,C3274804,M7905438,1,2,1
16.19,8674.18,2571.8,7142.81,8301.97,cash_in,C9211754,M3385244,18,5,0
0.19,847.61,7966.53,7711.95,4088.22,payment,C7191986,M8628527,15,2,1
97.94,8486.96,1022.1,9724.29,6384.92,payment,C2062512,M9966154,12,1,0
398.39,4997.68,3296.36,2907.57,5518.37,cash_out,C9142618,M6766993,21,6,0
2947.76,8383.35,261.19,9301.39,1664.04,cash_in,C1011340,M8177281,6,5,1
5.32,3088.47,8756.79,8778.29,1024.07,payment,C5200835,M2382787,11,5,0
6.23,4023.78,3124.54,7024.47,2418.02,transfer,C2596917,M1018225,6,3,0
404.62,6831.83,191.94,6986.41,8189.38,cash_in,C3217531,M9014480,2,1,1
12.13,1114.03,3202.18,8821.79,1457.58,cash_out,C3396676,M2147756,16,4,0
137.81,3576.76,2209.25,7507.86,9206.95,debit,C8421969,M4644760,2,0,1
2072.95,3901.92,9636.16,3213.59,1484.32,payment,C2413458,M5163551,17,4,1
8.09,7811.8,6935.71,8494.13,6618.21,payment,C4446807,M9686388,19,4,0
0.15,640.23,8989.33,9551.25,4999.39,transfer,C5044680,M9381604,20,4,1
24.66,9345.85,1406.63,8622.06,5726.97,payment,C3898604,M8902314,2,0,1
1.9,2235.86,9233.53,9491.93,4039.95,payment,C9406206,M7969792,13,5,0
18.91,5422.79,1611.54,927.61,882.31,cash_out,C3606795,M9999133,10,3,0
6.56,6533.41,6467.23,3170.68,4431.11,cash_out,C1971500,M5101689,2,3,0
957.94,3161.97,7442.77,7432.52,1282.49,cash_out,C1190431,M3748655,15,2,1
5.38,7235.58,1752.93,1356.61,7833.13,payment,C2980663,M1492516,10,6,0
13.0,2703.2,9753.0,6312.58,5011.86,debit,C7041876,M1930113,15,6,0
20.23,2625.65,1118.76,5781.73,7255.51,cash_out,C9536665,M1043092,1,6,0
76.33,4770.47,3891.5,1585.84,9318.48,transfer,C8035849,M4766741,10,1,0
5.0,2785.45,871.08,3790.8,5070.21,transfer,C4008898,M4744423,16,0,0
33.07,4704.43,2894.84,8463.98,3340.28,debit,C8662929,M1133700,11,1,0
0.37,2501.58,3745.91,9721.39,9978.09,cash_out,C5112546,M3526084,0,3,1
31.75,8411.78,8784.27,9514.8,114.47,cash_in,C6159172,M2743975,6,4,1
32.87,9615.73,9728.34,1509.5,2870.27,transfer,C4883465,M9720112,13,5,0
25.47,7504.2,5849.63,5103.73,6408.44,cash_in,C2255447,M2044933,13,5,0
6.47,2683.81,3218.59,8028.09,7037.18,payment,C6336123,M8596016,8,1,0
409.18,7724.45,1178.83,1146.01,4550.71,payment,C7820148,M3025626,17,2,1
7.82,3152.25,2723.58,1287.14,1660.39,payment,C1676621,M4607450,10,1,0
1360.74,4022.82,584.61,3058.52,8218.89,cash_out,C1521470,M7784575,14,4,1
30.33,4674.23,8058.58,1483.95,218.37,cash_out,C3193037,M4324120,12,2,0
232.39,931.99,5902.58,9182.54,842.37,transfer,C4317700,M8439543,4,0,0
7.1,3382.34,522.69,4663.85,1763.09,debit,C8267158,M7626978,15,0,0
246.8,3604.04,9092.21,2822.32,4515.51,cash_out,C1581321,M5123584,20,2,0
3.17,4842.41,968.44,3891.85,4250.42,debit,C5180005,M1327658,12,6,0
17.25,7836.21,3505.94,5699.95,3283.88,payment,C4016809,M1437264,10,4,0
0.04,9916.16,5341.38,7691.74,9996.1,cash_out,C2679975,M5158351,21,1,1
94.88,9964.28,2272.17,8480.4,7994.17,payment,C3914404,M3954473,7,4,1
13.53,3651.95,5956.47,7064.18,3581.65,debit,C3384080,M4158036,15,4,0
16.38,993.55,2402.97,2266.21,5311.84,transfer,C6565572,M4380011,4,2,0
18.86,8458.41,3303.53,316.94,5907.43,cash_out,C2860938,M9829762,11,0,0
17.15,4016.4,1100.22,3087.48,1450.87,cash_out,C8329435,M9173859,20,2,0
403.05,9295.57,7891.22,2310.05,5930.61,cash_out,C7348231,M6147639,23,5,1
1464.18,9493.0,9492.11,3976.85,9943.4,debit,C1543292,M4054824,19,2,1
15.48,2286.86,5698.95,9373.21,1492.37,transfer,C4992909,M6818508,10,1,0
104.26,8234.45,6733.24,7319.93,3423.92,transfer,C5449526,M4517918,7,5,0
0.4,7232.09,576.66,4438.38,4254.57,cash_out,C7946088,M9272543,12,2,1
24.35,4846.94,8654.1,6544.6,6902.89,cash_out,C8571346,M2236638,1,2,0
0.48,834.58,1784.04,3817.03,7346.65,debit,C2562037,M6669869,19,4,1
10.19,4370.1,6570.99,6112.44,4398.58,transfer,C2698824,M6554845,6,1,0
11.73,9263.18,5447.24,6639.92,3044.27,transfer,C1832744,M7591805,18,4,0
26.4,3672.21,4333.3,3016.04,6654.0,debit,C9058573,M4349987,3,0,0
200.66,911.17,8453.31,3152.7,4034.93,cash_in,C5446036,M2529023,20,4,1
16.96,3876.31,1947.17,541.71,4453.43,payment,C4795715,M5505722,18,0,0
163.73,948.5,3503.53,5460.35,9709.98,debit,C4817030,M2023137,12,6,1
164.47,6901.97,9369.98,5769.87,2432.86,payment,C2324645,M7623718,22,0,0
16.48,8024.46,6807.6,6240.7,1290.79,cash_in,C3900427,M3804559,6,6,0
1265.33,9883.97,4410.39,9972.97,6309.54,debit,C5326615,M6364506,23,6,1
0.28,5565.34,8580.58,5244.91,9179.9,transfer,C9767135,M8039616,3,3,1
102.07,7607.94,9402.53,9256.79,5670.57,transfer,C5799841,M9986438,11,3,1
448.81,6128.73,470.91,2826.6,1524.14,debit,C7739741,M1650662,12,2,1
20.44,4804.66,2758.99,3787.16,3444.87,payment,C6216863,M5703436,15,6,0
24.11,8702.11,1430.42,9744.77,4486.8,payment,C5520117,M7992286,19,5,0
0.11,8257.3,7435.35,7618.98,8685.17,transfer,C9644791,M3667115,2,2,1
18.85,7827.11,5290.43,5729.86,1820.0,cash_out,C1966829,M5185752,1,3,0
0.36,2812.38,8252.71,5100.75,6390.56,transfer,C1512765,M5059047,11,3,1
